Price,Close,High,Low,Open,Volume
Ticker,^JKSE,^JKSE,^JKSE,^JKSE,^JKSE
Date,,,,,
2003-11-21,617.0599975585938,617.0599975585938,603.4845365045087,605.7274302741006,5152400
2003-12-01,629.91552734375,630.0095178324149,617.2330367180465,617.2330367180465,6415700
2003-12-02,633.703369140625,635.8812629116367,629.4935109788978,630.7494435542784,12103500
2003-12-03,643.8379516601562,644.136951269238,631.3404515677219,632.0564271574622,13680900
2003-12-04,641.1251220703125,643.8379683591013,639.1941667983222,643.8379683591013,9080600
2003-12-05,638.0201416015625,642.7160036900884,636.8431854732139,640.6430863522316,10407300
2003-12-08,647.7457885742188,647.7457885742188,633.8523473144481,635.6382885553752,7337400
2003-12-09,644.4338989257812,647.9897907813845,641.1990394954374,647.6787677321216,5045800
2003-12-10,645.935791015625,645.935791015625,640.7179770616822,644.3538825344543,9660500
2003-12-11,653.2985229492188,653.2985229492188,643.7409119028679,645.5938670578968,17816500
2003-12-12,656.7144165039062,659.3953423769012,652.3455680806325,654.0655328401568,26132900
2003-12-15,658.496337890625,660.1942698382903,651.6466289586884,658.7543844856907,11575000
2003-12-16,656.8834228515625,657.5163938142587,652.4435932612305,657.5163938142587,6090300
2003-12-17,655.6724853515625,657.6824169092826,652.6675973911354,654.8665474729128,8920200
2003-12-18,664.85107421875,664.8600460366728,655.6724162215339,655.6724162215339,15938900
2003-12-19,672.2658081054688,672.2658081054688,665.8010940793132,666.1010701885119,19866600
2003-12-22,674.3687744140625,674.5767741316192,669.0349365864696,672.8828092957075,10163000
2003-12-23,679.280517578125,679.5494890228946,674.3687218140764,674.3687218140764,15851500
2003-12-29,693.0060424804688,693.0060424804688,679.709563019343,679.7635159971709,13694900
2003-12-30,691.8681030273438,700.9327528167338,685.4733322788763,695.4939385299871,19701600
2004-01-02,704.4705200195312,704.4705200195312,687.9711632946637,691.3490223217182,11244500
2004-01-05,725.4437866210938,725.4437866210938,706.3425393468588,706.3425393468588,35915500
2004-01-06,723.9608154296875,738.1302464411239,717.8010211737177,728.6915881975445,39797000
